Search	VideoID	PublishedAt	ChannelId	ChannelTitle	Title	Description
www.ibict.br	m6_YM7pYgfc	2021-06-09T20:53:21Z	UCsYh70E1ktPDU92t8tX31_g	Instituto Brasileiro de Informação em Ciência e Tecnologia - IBICT	LiveIbict com Dra Sarita Albagli, Dra Liz-Rejane Issberner e Dr. Thiago Oliveira Rodrigues	Na live desta semana, nossos convidados abordam a 'Informação para a Sustentabilidade' Dra. Liz-Rejane ...
www.ibict.br	OTejkD7OEeo	2023-10-20T12:58:31Z	UCTi_SWIfV4LmFR09Ndb11QQ	BR Apostilas	Apostila IBICT 2023 Ciência da Informação	Cadastre-se para receber notícias de todos os concursos 2023. Adquira agora sua Apostila IBICT 2023 Ciência da Informação ...
www.ibict.br	xO9u2Jt_-Vs	2023-10-20T13:04:43Z	UCTi_SWIfV4LmFR09Ndb11QQ	BR Apostilas	Apostila IBICT 2023 Tecnologia da Informação	Cadastre-se para receber notícias de todos os concursos 2023. Adquira agora sua Apostila IBICT 2023 Tecnologia da ...
www.ibict.br	QrG8YhuamLM	2019-08-19T17:08:39Z	UCj0T5TXf9bYGnyrac-BOU0A	ACV Ibict	BRACV 2019: Cecília Leite, do IBICT	Depoimento gravado durante as atividades do III Fórum Brasileiro de Avaliação do Ciclo de Vida – BRACV 2019, que aconteceu ...
www.ibict.br	APk-GU0czoA	2020-07-22T20:28:48Z	UCsYh70E1ktPDU92t8tX31_g	Instituto Brasileiro de Informação em Ciência e Tecnologia - IBICT	LiveIbict com Cecília Leite, Emir Suaiden e Glòria Pérez-Salmerón	No quadro QuartaÀsQuatro desta semana nossos convidados discutem o tema 'Informação e infodemia na pós-pandemia: ...
www.ibict.br	3binPjshQZc	2021-03-10T20:35:04Z	UCsYh70E1ktPDU92t8tX31_g	Instituto Brasileiro de Informação em Ciência e Tecnologia - IBICT	LiveIbict com Cecilia Leite e Alessandra Assis, com moderação de Ricardo Crisafulli	Na live desta semana, nossos convidados debatem o tema “A importância das bibliotecas na divulgação científica”. Ricardo ...
www.ibict.br	8slPTt9NQAE	2020-06-30T16:42:13Z	UCFRtRxczJUQmdr3Ine2-V4w	PPGCI-Unesp	Cartografia das bibliotecas de Ciência e Tecnologia no Brasil	Palestra PPGCI: Cartografia das bibliotecas de Ciência e Tecnologia no Brasil Palestrante: Profa. Dra. Lillian Maria Araujo de ...
www.ibict.br	dVW4Pw57dnw	2020-09-23T20:50:33Z	UCsYh70E1ktPDU92t8tX31_g	Instituto Brasileiro de Informação em Ciência e Tecnologia - IBICT	LiveIbict com Clovis Lima, Nancy Sánchez Tarragó, Mariangela Maia e Luciana Gracioso	No quadro QuartaÀsQuatro desta semana nossos convidados discutem o tema “Pandemia de controvérsias e validação da ...
www.ibict.br	eNX5VkhpYgc	2020-10-14T20:48:09Z	UCsYh70E1ktPDU92t8tX31_g	Instituto Brasileiro de Informação em Ciência e Tecnologia - IBICT	LiveIbict com Jorge Biolchini, Eduardo de Gomensoro e Bruno Scarpellini	No quadro QuartaÀsQuatro desta semana nossos convidados discutem o tema “Vacinas para a COVID-19”. Jorge Biolchini ...
www.ibict.br	WHj54GqBle8	2021-10-04T19:07:05Z	UCsYh70E1ktPDU92t8tX31_g	Instituto Brasileiro de Informação em Ciência e Tecnologia - IBICT	Forense Digital e a autenticidade dos documentos arquivísticos digitais	Tema: Forense Digital e a autenticidade dos documentos arquivísticos digitais Palestrante com Miguel A. M. Arellano e Corinne ...
